index,address_1,address_2,name,expiration_date
106,BOROWINOWA,49,HODAS NORBERT,2032-04-20
107,BOSACKA,5/1A,KRAK REST TOMASZ CICHOŃ SPÓŁKA JAWNA,2025-10-04
108,BOSAKÓW,5A/LU86,TIPERERA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZILANOŚCIĄ,2026-04-07
109,BOŻEGA CIAŁA,3,ZAJĄCZKOWSKI PIOTR,2025-05-21
110,BOŻEGO CIAŁA,7,CYKLOP SPÓŁKA Z O.O.,2031-12-04
111,BOŻEGO CIAŁA,7,PLANSZE KULTURY SPÓŁKA Z O.O.,2032-08-14
112,BOŻEGO CIAŁA,9,ŁUCZYŃSKI BARTOSZ,2030-09-01
113,BOŻEGO CIAŁA,12,GASTRO INVEST GROUP SPÓŁKA Z O.O.,2031-06-07
114,BOŻEGO CIAŁA,19,SATORIA GROUP S.A.,2027-04-04
115,BOŻEGO CIAŁA,12/21,PIZIORSKA MAŁGORZATA,2030-06-05
116,BOŻEGO CIAŁA,14/1,LITEX HORECA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2027-10-12
117,BOŻEGO CIAŁA,14/2,LITEX HORECA SPÓŁKA Z O.O.,2031-10-31
118,BOŻEGO CIAŁA,10 lok. 2 i 3,BANAŚ-POPEK BARBARA,2030-05-08
119,BRACKA,4,1ST FLOOR SPÓŁKA Z O.O.,2024-12-26
120,BRACKA,6,MEETINGPOINTGROUP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZILANOŚCIĄ,2029-12-28
121,BRACKA,13,"WYGAŚ BEATA, WYGAŚ PAWEŁ",2029-05-09
122,BRACKA,3-5/5,ŚLUSARCZYK ILONA,2032-05-12
123,BRACKA,3-5,KŁOBUCH MAREK,2025-12-06
124,BRACKA,3-5,"FEDAS-FRĄCZEK BOŻENA, BISTROŃ ANNA",2028-05-20
125,BRACKA,3-5,"KŁOBUCH MAREK, KŁOBUCH MARZENA",2025-05-09
126,BRACKA,6 / S-1,MARZECKI TOMASZ,2030-01-31
127,BRACKA,6 lok. S3,GRUPA TAFFETA SPÓŁKA Z O.O.,2030-09-11
128,BRATYSŁAWSKA,1,THI LE,2031-08-08
129,BRONOWICKA,56/LU 1,"MAKSYMCZAK DOROTA, MAKSYMCZAK MAREK",2031-10-17
130,BRZOZOWA,12,BURDZEL BEATA,2032-05-26
131,BRZOZOWA,4/1-3,PLANSZE KULTURY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2028-02-06
132,BRZOZOWA,17 / 4-5,KARAKTER RESTAURACJA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,2029-08-04
133,BRZOZOWA,8/1,BBK SPÓŁKA Z O.O.,2031-03-12
134,BRZOZOWA,15/1,MUHI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2032-07-10
135,BRZOZOWA,17/3,"KUMOR GRZEGORZ, MARS MARCIN",2031-01-21
136,BULWAR CZERWIEŃSKI,dz. 172/7 obr. 3 śródmieście,KAPUSTA KRYSTIAN,2027-04-09
137,BULWAR CZERWIEŃSKI,dz. 81/5,KRAKÓW FOR YOU SPÓŁKA Z O.O.,2031-07-11
138,BULWAR CZERWIEŃSKI,dz. 81/5 obr. 146 i,SZEWCZYK EDYTA,2027-04-18
139,BULWAR CZERWIEŃSKI,dz. nr 172,KRAKOWSKA GRUPA AMNIS SPÓŁKA Z O.O.,2032-02-06
140,BULWAR CZERWIEŃSKI,dz. nr 172/7,KRAKOWSKA GRUPA AMNIS SPÓŁKA Z O.O.,2032-04-06
141,BULWAR CZERWIEŃSKI,dz. nr 172/7,KAPUSTA KRYSTIAN,2031-05-22
142,BULWAR CZERWIEŃSKI,dz. nr 81/5,KRAKOWSKA GRUPA AMNIS SPÓŁKA Z O.O.,2032-04-06
143,BULWAR CZERWIEŃSKI,dz. nr 81/5 obr. 146,STER EWA BIGOSZ - LASSOTA I PIOTR WIŚNIEWSKI SPÓŁKA JAWNA,2028-09-30
144,BULWAR INFLANCKI,DZ.112/9,EVENTS MANAGEMENT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2032-08-14
145,BULWAR KURLANDZKI,dz. 137/7 obr. 12,KAPUSTA KRYSTIAN,2031-05-22
146,BULWAR KURLANDZKI,DZ. 94 OBR. 15,KAPUSTA KRYSTIAN,2027-05-29
147,BULWAR KURLANDZKI,dz. nr 94 obr.15,"KLAUS ZENON, SŁAWOMIR ŻĄDŁO, MATEUSZ KALETA",2032-04-14
148,BULWAR KURLANDZKI,dz.137/7 obr.12,OWTO SPÓŁKA Z O.O.,2032-05-16
149,BULWAR WOŁYŃSKI,"DZ. NR 548/5 OBR. 12, PODGÓRZE",STER EWA BIGOSZ - LASSOTA I PIOTR WIŚNIEWSKI SPÓŁKA JAWNA,2028-03-09
150,BULWAR WOŁYŃSKI,dz. nr. 548/5,LAST SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2029-06-29
151,BULWAROWA,39,ŻUCHOWICZ GRZEGORZ,2027-09-10
152,BULWAROWA,43,"PRZEBINDA MONIKA, PRZEBINDA ZBIGNIEW",2030-04-25
153,BULWAROWA,35A,HOTEL KRAKÓW EAST SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2028-08-06
154,CECHOWA,101,KAWENA SPÓŁKA Z O.O.,2030-11-15
155,CENTRALNA,30,DUET-POL SPÓŁKA Z O.O.,2032-09-11
156,CENTRALNA,41 B,WIKLIK-POUDEL BEATA,2032-06-09
157,CENTRALNA,41A,ESSEN GROUP SPÓŁKA Z O.O.,2031-08-13
158,CENTRALNA,41A,CUBE WALLS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,2027-09-12
159,CENTRALNA,53B,GÓRA ANNA,2031-01-06
160,CENTRUM B,7,STOWARZYSZENIE CENTRUM B7,2027-09-30
161,CENTRUM B,8,NOSEK ROBERT,2030-11-11
162,CENTRUM E,12,ŚWIĘTALSKA JADWIGA,2026-11-07
163,CENTRUM E,25,ŚLĘCZEK GRZEGORZ,2029-05-22
164,CHMIELENIEC,2B lok. LU 1,HK GROUP SPÓŁKA Z O.O.,2027-10-20
165,CHMIELENIEC,2B/LU11,WALCZAK JAN,2029-07-20
166,CHMIELNA,18A,SWOBODA-GÓRSKA PAULINA,2032-04-14
167,CISOWA,2,KOŁODZIEJCZYK RENATA,2028-09-09
168,CZARNOWIEJSKA,6,HORTA SPÓŁKA Z O.O.,2032-04-14
169,CZARNOWIEJSKA,55,TROCHA ZBIGNIEW,2030-07-07
170,CZARNOWIEJSKA,97A,WESTWORLD SPÓŁKA Z O.O.,2031-10-08
171,CZYSTA,3/2,SASINOWSKA ANNA,2031-12-14
172,CZYSTA,8/LU2,"RAW NEST SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ, SPÓŁKA KOMANDYTOWA",2032-04-01
173,DAJWÓR,3,ARTEFAKT SPÓŁKA Z O.O.,2031-12-10
174,DAJWÓR,8,B 1881 SPÓŁKA Z O.O.,2032-04-21
175,DAJWÓR,10B,DE KIME CHRISTOPHER,2027-08-20
176,DAJWÓR,14-16,WEŹŻE KRAFTA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2030-04-07
177,DAJWÓR,19 lok. LU 1,DO NOT DISTURB SPÓŁKA Z O.O.,2032-06-02
178,DAJWÓR,20 lok. LU 2,FOODSPACE SPÓŁKA Z O.O.,2032-08-13
179,DAJWÓR,20/LU 1,KOSTRZ KACPER,2032-01-11
180,DAJWÓR,23/21,ANNAPURNA INTERNATIONAL SPÓŁKA Z O.O.,2032-02-14
181,DAJWÓR,25 lok. B,"STANASZEK TOMASZ, URBAŃSKI KAMIL",2029-05-27
182,DAJWÓR,25 lok. C,CHANG-LUNG LEE,2030-08-14
183,DANIELA CHODOWIECKIEGO,1,"TRATTORIA BŁONIA K. BOBIKIEWICZ SPÓŁKA JAWNA, ., ., .",2027-07-08
184,DĄBSKA,5,UNIREST HOTELE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2028-09-30
